iter	Passed	Remaining
0	1	108
1	2	106
2	3	100
3	3	94
4	4	90
5	5	88
6	6	88
7	7	91
8	9	94
9	11	106
10	12	104
11	13	101
12	14	99
13	15	97
14	16	95
15	17	93
16	18	91
17	20	93
18	22	94
19	23	95
20	24	93
21	25	91
22	26	89
23	27	87
24	28	86
25	29	84
26	30	83
27	32	83
28	34	85
29	36	84
30	36	82
31	37	80
32	39	79
33	40	78
34	41	76
35	42	75
36	43	73
37	44	72
38	46	72
39	48	72
40	49	71
41	50	69
42	51	68
43	52	66
44	53	65
45	54	64
46	55	62
47	56	61
48	57	59
49	60	60
50	61	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	52
56	67	51
57	69	50
58	70	48
59	71	47
60	72	46
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	79	39
67	80	38
68	81	36
69	82	35
70	83	34
71	86	33
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	99	20
83	100	19
84	102	18
85	104	16
86	105	15
87	106	14
88	107	13
89	108	12
90	109	10
91	110	9
92	111	8
93	114	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	120	0
