iter	Passed	Remaining
0	151	151257
1	155	77524
2	157	52365
3	159	39669
4	161	32167
5	164	27237
6	167	23824
7	170	21150
8	172	19002
9	174	17324
10	177	15976
11	180	14858
12	183	13926
13	185	13040
14	186	12273
15	190	11723
16	192	11155
17	195	10660
18	197	10189
19	198	9749
20	201	9373
21	204	9096
22	206	8764
23	208	8475
24	211	8233
25	212	7974
26	214	7714
27	215	7474
28	216	7247
29	220	7117
30	222	6959
31	223	6775
32	225	6596
33	226	6428
34	227	6270
35	228	6119
36	229	5975
37	230	5837
38	232	5720
39	233	5605
40	235	5496
41	236	5386
42	237	5288
43	238	5188
44	239	5090
45	241	5000
46	242	4910
47	243	4822
48	244	4740
49	245	4661
50	246	4594
51	248	4531
52	249	4465
53	251	4397
54	252	4339
55	253	4277
56	254	4215
57	256	4161
58	257	4105
59	258	4048
60	259	3996
61	261	3957
62	264	3929
63	265	3883
64	266	3837
65	267	3791
66	269	3748
67	270	3706
68	271	3662
69	272	3620
70	273	3581
71	275	3551
72	276	3516
73	278	3487
74	280	3456
75	282	3428
76	283	3395
77	284	3366
78	286	3334
79	286	3300
80	288	3269
81	289	3245
82	291	3215
83	292	3190
84	294	3171
85	296	3148
86	297	3122
87	299	3100
88	300	3076
89	301	3051
90	304	3037
91	305	3013
92	306	2990
93	309	2978
94	310	2957
95	311	2935
96	313	2918
97	314	2898
98	316	2878
99	317	2861
100	319	2843
101	320	2822
102	321	2802
103	323	2782
104	324	2763
105	325	2743
106	326	2724
107	327	2705
108	328	2688
109	329	2669
110	331	2651
111	331	2631
112	333	2614
113	334	2598
114	335	2584
115	338	2583
116	340	2570
117	341	2556
118	343	2544
119	346	2542
120	349	2535
121	350	2519
122	351	2507
123	353	2494
124	354	2481
125	356	2473
126	357	2457
127	359	2450
128	362	2449
129	364	2440
130	365	2427
131	367	2414
132	368	2401
133	369	2387
134	370	2374
135	372	2369
136	374	2361
137	376	2351
138	378	2341
139	379	2329
140	380	2317
141	381	2303
142	382	2291
143	383	2277
144	383	2263
145	384	2251
146	387	2248
147	388	2238
148	390	2229
149	391	2218
150	392	2208
151	393	2197
152	395	2186
153	396	2175
154	396	2164
155	398	2154
156	399	2144
157	402	2142
158	403	2134
159	404	2124
160	405	2113
161	406	2104
162	407	2094
163	409	2085
164	410	2075
165	411	2065
166	412	2056
167	414	2052
168	416	2050
169	418	2042
170	419	2033
171	420	2026
172	422	2019
173	424	2016
174	426	2011
175	428	2007
176	430	2001
177	431	1993
178	433	1986
179	434	1980
180	437	1977
181	438	1970
182	439	1962
183	440	1955
184	443	1953
185	444	1946
186	446	1939
187	447	1932
188	448	1924
189	449	1917
190	451	1910
191	452	1902
192	453	1894
193	454	1888
194	455	1880
195	458	1882
196	460	1876
197	461	1870
198	463	1864
199	464	1857
200	465	1851
201	466	1844
202	467	1837
203	469	1830
204	470	1823
205	471	1819
206	473	1814
207	475	1809
208	476	1803
209	477	1796
210	479	1791
211	480	1784
212	481	1779
213	482	1772
214	483	1766
215	485	1761
216	487	1757
217	488	1751
218	489	1746
219	490	1739
220	491	1733
221	492	1727
222	494	1721
223	495	1716
224	496	1710
225	497	1704
226	499	1702
227	501	1699
228	503	1694
229	504	1689
230	505	1683
231	506	1678
232	508	1672
233	509	1667
234	510	1661
235	511	1656
236	512	1651
237	514	1647
238	515	1642
239	517	1637
240	518	1631
241	519	1626
242	520	1620
243	521	1615
244	522	1610
245	523	1605
246	524	1599
247	525	1594
248	526	1589
249	528	1585
250	529	1581
251	531	1576
252	532	1571
253	533	1565
254	533	1559
255	535	1555
256	536	1551
257	537	1545
258	538	1539
259	539	1534
260	540	1529
261	541	1524
262	542	1519
263	543	1515
264	544	1510
265	545	1505
266	546	1499
267	547	1494
268	548	1489
269	549	1484
270	550	1479
271	550	1474
272	551	1469
273	552	1464
274	553	1459
275	554	1454
276	555	1450
277	556	1446
278	558	1442
279	559	1438
280	560	1434
281	561	1430
282	563	1426
283	564	1422
284	565	1418
285	566	1414
286	567	1411
287	569	1407
288	570	1403
289	572	1401
290	573	1398
291	575	1395
292	576	1391
293	577	1387
294	579	1383
295	580	1380
296	581	1376
297	582	1373
298	584	1369
299	585	1365
300	587	1365
301	589	1361
302	590	1358
303	591	1354
304	592	1350
305	593	1347
306	595	1343
307	596	1339
308	597	1335
309	598	1332
310	600	1330
311	603	1330
312	605	1328
313	606	1325
314	607	1321
315	608	1318
316	610	1314
317	611	1310
318	612	1307
319	613	1303
320	615	1302
321	617	1299
322	618	1296
323	619	1293
324	621	1290
325	622	1287
326	623	1283
327	624	1280
328	625	1276
329	626	1272
330	628	1269
331	629	1267
332	632	1267
333	634	1264
334	635	1261
335	637	1258
336	638	1256
337	639	1252
338	640	1249
339	642	1246
340	644	1245
341	646	1243
342	648	1241
343	649	1239
344	651	1236
345	652	1232
346	653	1229
347	654	1226
348	655	1222
349	657	1221
350	659	1219
351	661	1218
352	663	1215
353	664	1212
354	665	1209
355	666	1206
356	667	1202
357	669	1199
358	670	1197
359	674	1198
360	677	1198
361	678	1196
362	680	1193
363	682	1191
364	683	1189
365	686	1189
366	688	1187
367	690	1185
368	691	1183
369	693	1180
370	694	1177
371	695	1174
372	696	1171
373	698	1168
374	699	1166
375	702	1165
376	703	1163
377	705	1160
378	706	1157
379	707	1155
380	709	1152
381	710	1149
382	712	1147
383	714	1146
384	715	1143
385	717	1140
386	718	1137
387	719	1134
388	721	1132
389	722	1130
390	723	1127
391	725	1124
392	726	1122
393	728	1120
394	729	1117
395	730	1114
396	731	1111
397	733	1108
398	734	1105
399	735	1103
400	736	1100
401	737	1097
402	739	1095
403	740	1092
404	742	1091
405	744	1088
406	745	1085
407	746	1083
408	748	1081
409	749	1078
410	751	1076
411	752	1073
412	753	1070
413	754	1068
414	755	1065
415	757	1063
416	761	1065
417	764	1064
418	765	1061
419	766	1058
420	768	1056
421	770	1055
422	773	1055
423	775	1052
424	776	1050
425	777	1047
426	778	1045
427	779	1042
428	781	1039
429	782	1036
430	783	1034
431	785	1032
432	786	1029
433	787	1027
434	788	1024
435	789	1021
436	791	1019
437	792	1016
438	793	1014
439	795	1012
440	797	1010
441	798	1007
442	799	1005
443	800	1002
444	801	1000
445	803	998
446	805	996
447	806	993
448	808	991
449	809	989
450	811	987
451	813	985
452	815	984
453	819	985
454	820	983
455	821	980
456	823	978
457	824	975
458	826	973
459	828	972
460	830	970
461	831	968
462	832	965
463	834	963
464	835	961
465	837	959
466	839	958
467	841	957
468	844	956
469	846	954
470	847	952
471	848	949
472	850	947
473	851	945
474	852	942
475	855	941
476	858	940
477	859	938
478	860	936
479	861	933
480	863	931
481	864	928
482	866	927
483	869	926
484	871	924
485	872	922
486	873	920
487	874	917
488	875	915
489	877	912
490	878	910
491	883	912
492	885	910
493	887	908
494	888	906
495	889	903
496	891	902
497	893	900
498	896	899
499	897	897
500	899	895
501	900	893
502	901	891
503	902	888
504	904	886
505	905	884
506	907	882
507	911	882
508	913	881
509	914	878
510	915	876
511	916	873
512	917	871
513	919	869
514	921	867
515	923	865
516	925	864
517	926	861
518	927	859
519	928	856
520	929	854
521	930	851
522	931	849
523	931	846
524	932	843
525	933	841
526	935	839
527	936	837
528	937	834
529	938	832
530	939	829
531	940	827
532	941	824
533	942	822
534	943	819
535	943	817
536	944	814
537	945	811
538	946	809
539	947	807
540	948	804
541	949	802
542	950	800
543	952	798
544	953	795
545	954	793
546	955	791
547	957	789
548	958	787
549	959	784
550	960	782
551	961	780
552	1005	812
553	1007	810
554	1008	808
555	1010	807
556	1013	806
557	1016	805
558	1021	805
559	1022	803
560	1024	801
561	1026	800
562	1028	798
563	1031	797
564	1033	795
565	1034	793
566	1035	791
567	1037	788
568	1051	796
569	1052	794
570	1053	791
571	1055	789
572	1056	787
573	1058	785
574	1060	783
575	1062	781
576	1063	779
577	1064	777
578	1066	775
579	1067	772
580	1068	770
581	1070	768
582	1072	766
583	1076	767
584	1078	765
585	1079	762
586	1080	760
587	1081	758
588	1082	755
589	1084	753
590	1085	751
591	1088	749
592	1090	748
593	1092	746
594	1093	744
595	1095	742
596	1096	740
597	1097	737
598	1098	735
599	1100	733
600	1102	731
601	1103	729
602	1104	727
603	1105	725
604	1106	722
605	1107	720
606	1108	717
607	1110	715
608	1111	713
609	1114	712
610	1116	710
611	1117	708
612	1118	706
613	1119	704
614	1120	701
615	1122	699
616	1123	697
617	1125	695
618	1128	694
619	1129	692
620	1131	690
621	1132	688
622	1133	685
623	1135	683
624	1135	681
625	1137	679
626	1138	677
627	1142	676
628	1143	674
629	1144	672
630	1145	670
631	1146	667
632	1147	665
633	1148	662
634	1149	660
635	1150	658
636	1150	655
637	1151	653
638	1153	651
639	1154	649
640	1157	648
641	1158	646
642	1160	644
643	1161	642
644	1162	640
645	1164	637
646	1165	635
647	1166	633
648	1168	631
649	1170	630
650	1171	628
651	1173	626
652	1174	624
653	1175	622
654	1176	619
655	1178	617
656	1179	615
657	1181	613
658	1182	611
659	1185	610
660	1186	608
661	1188	606
662	1189	604
663	1190	602
664	1191	600
665	1192	598
666	1193	596
667	1195	594
668	1196	592
669	1200	591
